nome;lat;lng;link
Câmara Municipal da Azambuja;39.03731;-8.93365;http://portalnacional.com.pt/entidade/camara-municipal-da-azambuja-2/
Câmara Municipal da Batalha;39.64144;-8.76619;http://portalnacional.com.pt/entidade/camara-municipal-da-batalha-3/
Câmara Municipal da Calheta;32.73333;-17.20000;http://portalnacional.com.pt/entidade/camara-municipal-da-calheta-4/
Câmara Municipal da Calheta;38.60000;-27.98333;http://portalnacional.com.pt/entidade/camara-municipal-da-calheta-5/
Câmara Municipal da Chamusca;39.29033;-8.51295;http://portalnacional.com.pt/entidade/camara-municipal-da-chamusca-6/
Câmara Municipal da Covilhã;40.37450;-7.46753;http://portalnacional.com.pt/entidade/camara-municipal-da-covilha-7/
Câmara Municipal da Feira;40.91055;-8.57412;http://portalnacional.com.pt/entidade/camara-municipal-da-feira-8/
Câmara Municipal da Golegã;39.34264;-8.55502;http://portalnacional.com.pt/entidade/camara-municipal-da-golega-9/
Câmara Municipal da Guarda;40.53952;-7.34322;http://portalnacional.com.pt/entidade/camara-municipal-da-guarda-10/
Câmara Municipal da Lourinhã;39.17772;-9.31769;http://portalnacional.com.pt/entidade/camara-municipal-da-lourinha-11/
Câmara Municipal da Lousã;40.12535;-8.21219;http://portalnacional.com.pt/entidade/camara-municipal-da-lousa-12/
Câmara Municipal da Maia;41.20944;-8.57699;http://portalnacional.com.pt/entidade/camara-municipal-da-maia-13/
Câmara Municipal da Marinha Grande;39.86911;-8.93696;http://portalnacional.com.pt/entidade/camara-municipal-da-marinha-grande-14/
Câmara Municipal da Mealhada;40.39901;-8.48025;http://portalnacional.com.pt/entidade/camara-municipal-da-mealhada-15/
Câmara Municipal da Moita;38.68190;-8.98198;http://portalnacional.com.pt/entidade/camara-municipal-da-moita-16/
Câmara Municipal da Nazaré;39.58920;-9.01949;http://portalnacional.com.pt/entidade/camara-municipal-da-nazare-17/
Câmara Municipal da Ponta do Sol;32.66667;-17.10000;http://portalnacional.com.pt/entidade/camara-municipal-da-ponta-do-sol-18/
Câmara Municipal da Póvoa de Varzim;41.40386;-8.76897;http://portalnacional.com.pt/entidade/camara-municipal-da-povoa-de-varzim-19/
Câmara Municipal da Praia da Vitória;38.78333;-27.15000;http://portalnacional.com.pt/entidade/camara-municipal-da-praia-da-vitoria-20/
Câmara Municipal da Ribeira Brava;32.66667;-17.08333;http://portalnacional.com.pt/entidade/camara-municipal-da-ribeira-brava-21/
Câmara Municipal da Sertã;39.79383;-8.02156;http://portalnacional.com.pt/entidade/camara-municipal-da-serta-22/
Câmara Municipal da Tábua;40.36349;-7.91050;http://portalnacional.com.pt/entidade/camara-municipal-da-tabua-23/
Câmara Municipal da Trofa;41.32850;-8.56601;http://portalnacional.com.pt/entidade/camara-municipal-da-trofa-24/
Câmara Municipal da Vidigueira;38.21484;-7.82345;http://portalnacional.com.pt/entidade/camara-municipal-da-vidigueira-25/
Câmara Municipal das Caldas da Rainha;39.36938;-9.05276;http://portalnacional.com.pt/entidade/camara-municipal-das-caldas-da-rainha-26/
Câmara Municipal das Lajes do Pico;38.41667;-28.33333;http://portalnacional.com.pt/entidade/camara-municipal-das-lajes-do-pico-27/
Câmara Municipal de Abrantes;39.34259;-8.06554;http://portalnacional.com.pt/entidade/camara-municipal-de-abrantes-28/
Câmara Municipal de Águeda;40.62855;-8.43947;http://portalnacional.com.pt/entidade/camara-municipal-de-agueda-29/
Câmara Municipal de Aguiar da Beira;40.78464;-7.52204;http://portalnacional.com.pt/entidade/camara-municipal-de-aguiar-da-beira-30/
Câmara Municipal de Albergaria-A-Velha;40.70273;-8.45843;http://portalnacional.com.pt/entidade/camara-municipal-de-albergaria-a-velha-31/
Câmara Municipal de Albufeira;37.17625;-8.20216;http://portalnacional.com.pt/entidade/camara-municipal-de-albufeira-32/
Câmara Municipal de Alcácer do Sal;38.48588;-8.50627;http://portalnacional.com.pt/entidade/camara-municipal-de-alcacer-do-sal-33/
Câmara Municipal de Alcanena;39.47034;-8.67621;http://portalnacional.com.pt/entidade/camara-municipal-de-alcanena-34/
Câmara Municipal de Alcobaça;39.47488;-9.01718;http://portalnacional.com.pt/entidade/camara-municipal-de-alcobaca-35/
Câmara Municipal de Alcochete;38.73181;-8.97245;http://portalnacional.com.pt/entidade/camara-municipal-de-alcochete-36/
Câmara Municipal de Alcoutim;37.38464;-7.72758;http://portalnacional.com.pt/entidade/camara-municipal-de-alcoutim-37/
Câmara Municipal de Alenquer;39.15451;-9.11334;http://portalnacional.com.pt/entidade/camara-municipal-de-alenquer-38/
Câmara Municipal de Alfândega da Fé;41.37923;-6.84009;http://portalnacional.com.pt/entidade/camara-municipal-de-alfandega-da-fe-39/
Câmara Municipal de Alijó;41.32637;-7.55869;http://portalnacional.com.pt/entidade/camara-municipal-de-alijo-40/
Câmara Municipal de Aljezur;37.36859;-8.80147;http://portalnacional.com.pt/entidade/camara-municipal-de-aljezur-41/
Câmara Municipal de Aljustrel;37.94354;-8.18281;http://portalnacional.com.pt/entidade/camara-municipal-de-aljustrel-42/
Câmara Municipal de Almada;38.68030;-9.15845;http://portalnacional.com.pt/entidade/camara-municipal-de-almada-43/
Câmara Municipal de Almeida;40.70238;-6.97960;http://portalnacional.com.pt/entidade/camara-municipal-de-almeida-44/
Câmara Municipal de Almeirim;39.10951;-8.58022;http://portalnacional.com.pt/entidade/camara-municipal-de-almeirim-45/
Câmara Municipal de Almodovar;37.56567;-7.97034;http://portalnacional.com.pt/entidade/camara-municipal-de-almodovar-46/
Câmara Municipal de Alpiarca;39.25991;-8.58447;http://portalnacional.com.pt/entidade/camara-municipal-de-alpiarca-47/
Câmara Municipal de Alter do Chao;39.19006;-7.78792;http://portalnacional.com.pt/entidade/camara-municipal-de-alter-do-chao-48/
Câmara Municipal de Alvaiázere;39.78171;-8.35792;http://portalnacional.com.pt/entidade/camara-municipal-de-alvaiazere-49/
Câmara Municipal de Alvito;38.28875;-8.04121;http://portalnacional.com.pt/entidade/camara-municipal-de-alvito-50/
Câmara Municipal de Amarante;41.31445;-8.08788;http://portalnacional.com.pt/entidade/camara-municipal-de-amarante-51/
Câmara Municipal de Amares;41.66385;-8.31913;http://portalnacional.com.pt/entidade/camara-municipal-de-amares-52/
Câmara Municipal de Anadia;40.42126;-8.52879;http://portalnacional.com.pt/entidade/camara-municipal-de-anadia-53/
Câmara Municipal de Angra do Heroismo;38.65000;-27.10000;http://portalnacional.com.pt/entidade/camara-municipal-de-angra-do-heroismo-54/
