nome;morada;postal;localidade;lat;lng;codigo;
A.P.A.C.D.M. de Évora;Quinta do Escurinho - Apartado 431  ;7000 - 502 évora;Évora;38.5653;-7.931904;705266;
A.P.P.A.C.D.M. de Moura;Avenida do Carmo N.º 3    -    Apartado 105  ;7860 - 195 moura;Moura;38.143135;-7.4526143;210558;
ADBES - Associação Desenvolvimento e Bem Estar Social da Cruz da Picada;Bairro Cruz da Picada, Lote 15  ;7000 - 772 évora;Malagueira;38.567966;-7.929181;705272;
APPACDM de Elvas;Av.Bombeiros Voluntários de Elvas - Apart. 353  ;7350 - 190 elvas;Elvas;38.869095;-7.1600924;1207494;
Academia de Música de Elvas - Manuel Rodrigues Coelho;Rua de Olivença, nº 14- Apartado 151  ;7350 - 106 elvas;Elvas;38.878742;-7.1626353;1207134;
Ass. Escolinha de Arte;R. Ferreira de Castro, 10 - Bº do Granito  ;7000 - 716 bairro do granito;Bairro do Granito;38.586033;-7.9144316;705958;
Ass.Sócio-Cultural Terapeutica de Évora - Lar Escola S.Francisco de Assis;Lugar do Zambujinho  ;7005 - 132 azaruja;Évora;38.66949;-7.767759;705670;
Associação Apoio Desenvolvimento Integrado Ermidas do Sado;R. 10 - Edifício da Cantina Escolar  ;7565 - 210 ermidas-sado;Ermidas do Sado;38.005287;-8.415786;1509022;
Associação Beneficiência dos Amigos de Terrugem;Rua das Laranjeiras -Bairro de S. António  ;7350 - 491 terrugem elv;Terrugem;38.845028;-7.347423;1207642;
Associação Centro Infantil de S. Manços;Av. Eugénio de Almeida, nº 1  ;7005 - 721 são manços;S. Manços;38.460926;-7.750825;705138;
Associação da Creche e Jardim Infancia de Évora;R. de Machede, 8  ;7000 - 864 évora;Évora;38.57168;-7.903853;705882;
Associação da Creche e Jardim de Infância e Centro de Dia;Casebres  ;7580 - 551 são martinho asl;Casebres;38.527367;-8.495548;1501993;
Associação de Assistência de Vila Boim;Largo D. João Aboim, nº 4  ;7350 - 501 vila boim;Vila Boim;38.86184;-7.274544;1207630;
Associação de Paralisia Cerebral de Évora;Av. Dinis Miranda,  n.º 23  ;7000 - 751 évora;Évora;38.565483;-7.906396;705917;
CERCI - Cooperativa de Educação e Reabilitação de Crianças Inadaptadas de Portalegre, C.R.L;Rua 15 de Maio, Apartado 215  ;7300 - 207 portalegre;Portalegre;39.288887;-7.4283776;1214908;
CERCIBEJA Coop. Educ. Reab. Crianças Inadaptadas;Qt. dos Britos  ;7800 - 242 beja;Beja;38.036118;-7.8707867;205057;
CERCICOA Coop. Educ. Reab. Cr. Inadaptadas;Estrada de S. Barnabé,28  ;7700 - 015 almodôvar;Almodôvar;37.50982;-8.063968;202998;
CERCIDIANA Coop. para a Educação, Reabilitação e Inserção de Cidadãos Inadaptados;Quinta do Feijão ao Espinheiro - Apartado 92  ;7000 - 000 évora;Évora;38.59471;-7.8941813;705090;
CERCIESTREMOZ Coop. Ed. R. Cri. Inadaptadas;Qt. de Stº Antão  ;7100 - 000 estremoz;Estremoz;38.82734;-7.585424;704884;
CERCISIAGO Coop. P. Educ. Reab. C. Inadaptadas;Rua das Nogueiras  ;7540 - 193 santiago do cacém;Santiago do Cacém;38.01157;-8.695421;1509712;
CRIPS C. de Recuperação Infantil;Av. Manuel Pires Filipe  ;7400 - 223 ponte de sor;Ponte de Sor;39.251026;-8.006871;1213077;
Casa Sagrado Coração de Jesus;Estr. da Chainha - Quinta do Pio  ;7000 - 213 canaviais;Canaviais;38.60704;-7.916336;705990;
Centro Comunitário Pastorinhos de Fátima;Rua do Frei Aleixo - Bairro do Frei Aleixo -  ;7005 - 430 évora;Évora;38.586292;-7.899834;705084;
Centro Infantil Augusto Piteira;Rua Subtenente António Piteira  ;7040 - 114 arraiolos;Ilhas;38.717823;-7.970185;702983;
Centro Infantil Coronel Sousa Tavares;R. Pedro Alvares Cabral  ;7800 - 509 beja;Beja;38.010155;-7.8611145;205030;
Centro Infantil Irene Lisboa;Pátio do Salema, 20  ;7000 - 818 évora;Évora;38.570793;-7.9073453;705194;
Centro Infantil Nossa Senhora do Carmo;Largo de Santa Clara, nº 18  ;7860 - 202 moura;Moura;38.138615;-7.4501467;210356;
Centro Infantil Nª Sra. da Saúde;R. Simão Farinha, 6  ;7170 - 032 redondo;Redondo;38.645557;-7.546778;710044;
Centro Infantil Palmo e Meio;Rua Catarina Eufémia, 1  ;7005 - 320 évora;Horta das Figueiras;38.561176;-7.910741;705405;
Centro Infantil da Stª Cª Misericórdia;Praça do Município, nº 17  ;6050 - 358 nisa;Nisa;39.51864;-7.650048;1212555;
Centro Infantil da Stª Cª Misericórdia;Rua Salgueiro Maia,  nº 81-A  ;7430 - 000 crato;Crato;39.29126;-7.64441;1206020;
Centro Infantil de Alcácer;Estrada Nacional, Nº 5 Junto ao Jardim Público  ;7580 - 103 alcácer do sal;Alcácer do Sal;38.369408;-8.500826;1501746;
Centro Infantil de Ferreira do Alentejo;Rua Professor Mariano Feio  ;7900 - 564 ferreira do alentejo;Ferreira do Alentejo;38.06468;-8.116605;208515;
"Centro Infantil de Sines ""A Conchinha""";Quinta de S. Sebastião  ;7520 - 148 sines;Sines;37.95469;-8.8627;1513143;
Centro Infantil do Lousal;Mina do Lousal  ;7570 - 006 azinh barros s mam sádão;Mina do Lousal;38.033184;-8.428981;1505353;
Centro Infantil-Instituto Jean Piaget;Bairro das Flores, Apartado 38  ;7501 - 909 santo andré;Santo André;38.051453;-8.784809;1509092;
"Centro Social Infantil ""O Girassol""";R. Olivença, 12  ;7300 - 149 portalegre;Portalegre;39.294292;-7.4290752;1214862;
Centro Social Nossa Senhora do Paço;Largo do Conde nº 14  ;7350 - 431 barbacena;Barbacena;38.960785;-7.297935;1207616;
Centro Social Paroquial de Santo André;Estrada Nacional, 18 - Ao Gil  ;7100 - 075 estremoz;Estremoz;38.84661;-7.592838;704010;
Centro Social Paroquial de Stº António de Lavre;R. Bernardino Machado, nº 5  ;7050 - 467 lavre;Lavre;38.77425;-8.370605;706721;
Centro Social e Jardim Infantil de S. Cristóvão;Rua 25 de Abril - Bairro do Atalaião  ;7300 - 023 portalegre;Portalegre;39.291584;-7.4241023;1214278;
Centro Social e Paroquial de S. João de Deus;R. S. João Bosco - Bairro de Almeirim  ;7005 - 604 évora;Évora;38.54549;-7.898623;705630;
Centro Social e Paroquial de S. Paulo;R. Estrela Faria, nº 14  ;7000 - 483 évora;Évora;38.554325;-7.927317;705932;
Centro da Ass. Port. Paralisia Cerebral;R. Cidade de S. Paulo, Apartado 5  ;7800 - 000 beja;Beja;38.00529;-7.8549886;205178;
Centro de Actividade Infantil;R. Gabriel Victor de Monte Pereira, 21-1º-Esq.  ;7000 - 533 évora;Évora;38.572224;-7.912007;705776;
Centro de Reabilitação e Formação Profissional - Cerciportalegre;Zona Industrial - Painel da Estação de Serviço, Caixa 4  ;7320 - 305 castelo de vide;Castelo de Vide;39.423275;-7.4921284;1205209;
Centro de Recuperação de Menores de Assumar;Rua Francisco Velez de Peso  ;7450 - 000 monforte;Assumar;39.140686;-7.384374;1211010;
Cercigrândola-Coop.Educação e Reabilitação de Crianças Inadaptadas;Rua Vitor Manuel Ribeiro da Rocha  ;7570 - 113 grândola;Grândola;38.173164;-8.5688;1505270;
Colégio Estrela do Mar;Urb. Quinta do Meio, Lote 2  R/C;;;;;;
0;7520 - 080 sines;Sines;37.953644;-8.85492;1513213;;
Colégio Luso-Britânico;Av. das Forças Armadas nº 2 - Bairro Sta Luzia  ;7350 - 095 elvas;Elvas;38.87398;-7.164825;1207112;
Colégio Salesianos - Évora;Av. São João Bosco, 4  ;7000 - 766 évora;Évora;38.57143;-7.9165344;705740;
Colégio de Laura Vicuña;Av. 25 de Abril, nº 15  ;7080 - 134 vendas novas;Vendas Novas;38.674088;-8.455504;712805;
Colégio de Nossa Senhora da Graça;R. Custódio Bráz Pacheco  ;7645 - 256 vila nova de milfontes;Vila Nova de Milfontes;37.72515;-8.780318;211889;
Conservatório Regional de Évora - Eborae Musica;Convento Remédios-Av. S.Sebastião-Apart 2126  ;7000 - 000 évora;Évora;38.569836;-7.9150004;705878;
Conservatório Regional do Alto Alentejo;Rua da Caridade, 17 - Apartado 129  ;7200 - 399 reguengos de monsaraz;Reguengos de Monsaraz;38.42557;-7.535544;711331;
Conservatório Regional do Baixo Alentejo;Praça da República - Apart. 281  ;7800 - 427 beja;Beja;38.015633;-7.865401;205268;
Conservatório Regional do Baixo Alentejo (Deleg. de Moura);Rua da República, nº 31  ;7860 - 245 moura;Moura;38.141697;-7.449444;210112;
Conservatório Regional do Baixo Alentejo (Delegação de Castro Verde);Rua da Liberdade  ;7780 - 000 castro verde;Castro Verde;37.70226;-8.088235;206095;
Coopberço - Cooperativa de Prestação de Serviços à Infância, CRL;R. de Aviz, 87  ;7000 - 591 évora;Évora;38.57473;-7.910098;705561;
Coração Delta - Associação de Solidariedade Social;Rua do Brasil, 4  ;7370 - 000 ;Nossa Senhora da Expectação;39.012806;-7.0636134;1204753;
Creche e Jardim Infantil D. Ana Angélica da Silveira da Stª Casa da Misericórdia de Borba;Av. Quinta da Prata Edíficio 2  ;7150 - 154 borba;Borba;38.8051;-7.463195;703448;
Creche e Jardim de Infância O Comboio;Avenida 5 de Outubro  ;7565 - 000 ermidas-sado;Alvalade;37.936928;-8.392461;1509840;
Creche e Jardim de Infância da Stª Casa da Misericórdia de Ourique;R. Bombeiros Voluntários   ;7670 - 262 ourique;Ourique;37.652863;-8.227463;212190;
Creche e Jardim de Infância de Grândola;R. D. Afonso Henriques  ;7570 - 236 grândola;Grândola;38.177574;-8.562537;1505648;
Creche jardim de Infância Margalice;Rua Doutoura Isabel de Castro, 5 - Bairro Casinha  ;7005 - 515 évora;Évora;38.55611;-7.926047;705535;
Creche-Jardim Infantil 25 de Abril;R. Bartolomeu Dias, 20  ;7080 - 121 vendas novas;Vendas Novas;38.6761;-8.469597;712488;
EPEI A-do-Pinto, Serpa;Rua da Liberdade nº50  ;7830 - 011 vila nova de são bento;A-do-Pinto;null;null;50213002;
EPEI Figueira e Barros, Avis;R. Afonso Costa  ;7480 - 351 figueira e barros;Figueira e Barros;null;null;51203003;
EPEI S. Miguel de Machede, Évora;R. Évora, 14  ;7005 - 799 s. miguel de machede;S. Miguel de Machede;null;null;50705001;
EPEI Vales Mortos, Serpa;Vales Mortos  ;7830 - 000 serpa;Vales Mortos;null;null;50213004;
EPEI de Mombeja/Trigaches, Beja;Avª 25 de Abril  ;7800 - 641 mombeja;Mombeja;null;null;50205003;
EPEI de Palma, Alcácer do Sal;Herdade de Palma  ;7580 - 325 alcácer do sal;Alcácer do Sal;null;null;51501002;
EPEI de São Bartolomeu da Serra, Santiago do Cacém;Av. 25 de Abril  ;7540 - 321 são bartolomeu da serra;S. Bartolomeu da Serra;null;null;51509003;
