titulo;preco;desc;erate;url;lat;lng;Quartos;WC's;Tam. do Lote (m²);Ano Construção;Casas de Banho;Total de Assoalhadas;Total m² ;Lugares de Estacionamento;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:;Volume cúbico (m³):
;250.000 €;Moradia T3, com acabamentos de primeira qualidade, c/ 2 pisos. Inserida numa área residencial muito tranquila. Possui água da companhia e furo artesiano. Exposição solar, nascente/poente.O Imóvel é composto por: R/chão - Excelente cozinha equipada, com acesso ao exterior, hall de entrada com wc de serviço, sala comum bastante grande, com acesso ao exterior, equipada com recuperador de calor  e lavandaria.1º Piso - hall com wc social, 3 quartos com varanda, sendo um com casa de banho privativo. Pré instalação de ar condicionado, jardim e 2 garagens.  A 5 Km da cidade de Penafiel, na zona das Termas de S. Vicente.;B;http://www.remax.pt/Two-Family-House-For-Sale-Portela-Penafiel_122211068-5;41.114217;-8.291538;3;1;815,00;2012;2;4;242;;;;;;
T2 A 100 METROS DA PRAIA COM 2 ESTACIONAMENTOS;210.000 €;Excelente apartamento de 3 assoalhadas, sendo um dos quartos en-suite e com closet, arrecadação no piso superior, dois lugares de estacionamento, varanda e terraço orientado a Sul.;A;http://www.remax.pt/Condo-Apartment-For-Sale-Armacao-de-Pera-Silves_121601058-114;37.103326;-8.365657;2;;;2003;2;3;146;1;5º Andar;118,00;;;
BOA LOCALIZAÇÃO;113.000 €;Ref. A-322 LAGOS - CERRO DAS MÓSApartamento com excelente acabamentos, muito bem estimado, com 2 quartos ( 1 en-suite ), duas casas de banho, sala comum com varanda, cozinha espaçosa totalmente equipada, sistema de vídeo porteiro. Local sossegado.Ref. A-322 LAGOS - CERRO DAS MÓSApartment with great finishings, in very good condition, 2 bedrooms ( 1 en-suite ), 2 bathrooms, living-room with veranda, spacious and fitted kitchen. Very quiet location.Ref. A-322 LAGOS - CERRO DAS MÓSApartment mit 2 Schlafzimmer, 2 Badezimmer, Wohnzimmer, eingerichtette Küche, Abstellraum und private Parkplatz.Ref. A-322 LAGOS - CERRO DAS MÓS...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Lagos-(Sao-Sebastiao)-Lagos_123041015-66;;;2;;;2003;2;3;124;;;;;;
Moradia de Luxo - Acabamentos de 1ª - NOVO PREÇO;298.000 €;Moradia com acabamentos de 1ª qualidade, composta no rés-do-chão por hall de entrada com sistema de vídeo-porteira, cozinha totalmente equipada, sala comum, despensa, quarto de banho com poliban e banheira, 2 quartos (1 com closet) e roupeiro de 4 portas no corredor. No primeiro andar possui 2 quartos com roupeiro, quarto de banho com poliban e circulação. Toda a casa está equipada com ar-condicionado topo de gama da Daikin, sistema de aquecimento central e sistema de aquecimento de toalhas nos quartos de banho. Possui garagem anexa, portão de entrada da moradia e da garagem automatizado, piscina equipada com infraestrutura para ser aquecida e possui cobertura amovível,...;A;http://www.remax.pt/Two-Family-House-For-Sale-Santiago-Maior-Alandroal_122751008-314;;;4;2;1.000,00;2011;1;5;305;;;;;;
Empreendimento "Casa do Oriente" - Novo;625.000 €;Situado numa das zonas mais nobres de Lisboa – Parque das Nações, com o Rio como paisagem. Fica este empreendimento de construção e acabamentos de primeira qualidade.Localização muito central onde o facilitismo impera: Gare do Oriente : Metro, autocarros, comboio e Aeroporto, Centro Comercial Vasco da Gama : Todo o tipo de comércio, Cinema, Hipermercado, etc… onde os horários não são um problema, de 2ª a Domingo até às 24h, Amplos espaços verdes : Jardins, passeios à beira rio, actividades de lazer, parques desportivos, ginásios e piscinas, Pavilhão Atlântico, FIL, Casino Lisboa e Hospital das Descobertas, Serviços : “Campus Justiça”, finanças, etc… Tudo isto a 2 passos.Fáceis e...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_120611192-99;38.77061;-9.097356;3;;154,00;2010;3;4;154;;4º Andar;;;;
;300.000 €;- Prédio novo,  apartamento a estrear e com óptimos acabamentos.- Vista parcial de rio.- Local simpático e acolhedor onde se encontra a modernidade com o fascínio dos bairros tradicionais de Lisboa.- Facilidade de acessos e transportes.- Próximo de todo o tipo de comércio serviços e escolas.- Próximo de património histórico protegido.- Parqueamento.- Elevador.- Som ambiente.- Ar condicionado.- Vidros Duplos.- Caixilhos oscilo batentes.- Varandas- Alarme- Porta de segurança.- Video porteiro.- Cozinha equipada- Casas de banho com hidromassagem.- Vários roupeiros- Tectos falsos em várias divisões com focos de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Beato-Lisbon_121511208-86;38.725958;-9.12763;3;;162,00;2009;;4;121;;;;;;
;300.000 €;- Prédio novo,  apartamento a estrear e com óptimos acabamentos.- Vista parcial de rio.- Local simpático e acolhedor onde se encontra a modernidade com o fascínio dos bairros tradicionais de Lisboa.- Facilidade de acessos e transportes.- Próximo de todo o tipo de comércio serviços e escolas.- Próximo de património histórico protegido.- Parqueamento.- Elevador.- Som ambiente.- Ar condicionado.- Vidros Duplos.- Caixilhos oscilo batentes.- Varandas- Alarme- Porta de segurança.- Video porteiro.- Cozinha equipada- Casas de banho com hidromassagem.- Vários roupeiros- Tectos falsos em várias divisões com focos de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Beato-Lisbon_121511208-84;38.725958;-9.12763;3;;153,00;2009;;4;122;;;;;;
;300.000 €;- Prédio novo,  apartamento a estrear e com óptimos acabamentos.- Vista parcial de rio.- Local simpático e acolhedor onde se encontra a modernidade com o fascínio dos bairros tradicionais de Lisboa.- Facilidade de acessos e transportes.- Próximo de todo o tipo de comércio serviços e escolas.- Próximo de património histórico protegido.- Parqueamento.- Elevador.- Som ambiente.- Ar condicionado.- Vidros Duplos.- Caixilhos oscilo batentes.- Varandas- Alarme- Porta de segurança.- Video porteiro.- Cozinha equipada- Casas de banho com hidromassagem.- Vários roupeiros- Tectos falsos em várias divisões com focos de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Beato-Lisbon_121511208-85;38.725958;-9.12763;3;;162,00;2009;;4;121;;;;;;
T5  DUPLEX DE COBERTURA;385.000 €;Apartamento Duplex de cobertura de características únicas na cidade de Braga.Piso superior de área social composto por salão multiusos (com bar, sala de jogos, salão de festas, lazer, etc..), ginásio, W´c completo, quarto ou escritório e terraço.Piso inferior de área familiar composto por quatro quartos (1 suíte), cozinha com despensa e lavandaria, sala comum com lareira, W´c de serviços e 2 W´c completos.garagem na cave com acesso independente com capacidade para cerca de 8 viaturas.Isolamento térmico e acústico.Este requintado imóvel alia ainda a excelente localização com as excelentes acessibilidade. Perto do Tribunal, campos da rodovia, supermercados, centro...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Braga-(Sao-Vitor)-Braga_123331027-30;41.549985;-8.410534;5;1;2.230,00;1991;3;6;540;;Duplex;;2;;
Apartamento junto ao centro do Montijo;93.500 €;   Apartamento T2 com excelentes áreas, suíte, varandas, aquecimento central, banheira de hidromassagem, sala grande com lareira e arrecadação.Tem chão flutuante em toda a casa, o que a torna muito acolhedora e muita luz natural.As áreas são muito boas e bem distribuídas destacando-se a cozinha ampla, com muita arrumação e completamente equipada.Muito bem localizada junto ao centro, fácil acesso à circular externa e á ponte vasco da Gama.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Montijo-Montijo_123641023-23;;;2;;282,00;2006;2;3;127;;1º Andar;;;;
