titulo;preco;desc;erate;url;lat;lng;Quartos;Lugares de Estacionamento;WC's;Tam. do Lote (m²);Ano Construção;Total m² ;Casas de Banho;Total de Assoalhadas;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:
A simplicidade é a sofisticação extrema;1.558.000 €;  Certamente já ouviu falar das três regras do investimento imobiliário. No entanto vou repeti-las na mesma porque nada é mais importante do que: 1-localização, 2-localização, 3-localizaçao.A localização é sem dúvida o mais importante fator para uma decisão de investimento acertada.Localizada na Rua Rosa Araújo, local de exceção do centro de Lisboa, esta casa foi desenhada pelos Arquitectos Aires Mateus, segundo a tradição mediterrânica, com formas simples, espaços amplos e generosas aberturas. É uma casa criada a pensar num verdadeiro cliente Collection. Um cliente exigente, que procura a melhor qualidade de construção e ambientes sofisticados. Um achado especial, um...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Coracao-de-Jesus-Lisbon_120521194-22;;;3;2;1;208,00;2012;208;2;4;4º Andar;;;
Moradia T4...;390.000 €;Espectacular moradia T4 com excelente localização, belíssimas áreas com acabamentos de 1ª qualidade. Estores eléctricos e janelas oscilo-batentes, ar condicionado em todas as divisões, painéis solares, pré-instalação de aquecimento central, musica ambiente, torneiras da grói, chão flutuante em carvalho, portas em faia. Loiças dos WC suspensas, bancadas em mármore de Alpedrinha e Liós, escadas em mármore com o corrimão em inox. Instalação de alarme, garagem com portão automático. Iluminação no espaço de jardim. Sótão aproveitado tem WC., Janelas Velux, luz natural. Com tudo o que informo, só falta a sua visita para confirmar e adquirir a casa dos seus sonhos...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Famoes-Odivelas_122841137-24;38.800303;-9.219717;4;;;400,00;2010;309;4;5;;;;
Villas da Quinta - Vilamoura;1.040.000 €;Situado em Vilamoura próximo do campo de Golfe Victória, numa zona bastante tranquila deste destino de lazer, o Empreendimento “Villas da Quinta” oferece-lhe o privilégio de sentir a vivência do campo mas com todas as comodidades e ao mesmo tempo próximo de tudo aquilo que necessita.Arquitectura tradicional e pormenores cuidados, a escolha de materiais e equipamentos de grande qualidade contribuem para a criação de um espaço monde todos podem usufruir do conforto e estilo de vida mediterrânico. Rodeado de uma extensa zona verde com piscinas e grandes áreas de lazer, o Empreendimento “Villas da Quinta” é mesmo um daqueles lugares onde nos apetece estar.“Villas da Quinta” reflecte os...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Quarteira-Loule_120611204-79;37.107628;-8.14962;3;;;245,00;2012;180;;4;;;;
;612.000 €;Apartamento a estrear nos  Olivais a 5 minutos do Aeroporto. ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_120611204-78;38.762724;-9.113448;3;;;156,00;2010;156;;4;;;;
Apartamentos NOVOS - Excelentes acabamentos;330.000 €;Fantásticos apartamentos Novos, a estrear em zona central e de referência, excelente localização, muita luminosidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de alumínio, pavimentos flutuante em Faia, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado (solução por condutas).Cozinha totalmente equipada com eletrodomésticos SMEG.Quartos com roupeiro, Boas varandas, 2 lugares de parqueamento e arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911113-77;39.004186;-9.004535;4;2;;193,00;2013;176;3;5;4º Andar;176,00;;
Apartamentos NOVOS - Excelentes acabamentos;247.500 €;Fantásticos apartamentos Novos, a estrear em zona central e de referência, excelente localização, muita luminosidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de alumínio, pavimentos flutuante em Faia, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado (solução por condutas).Cozinha totalmente equipada com eletrodomésticos SMEG.Quartos com roupeiro, Boas varandas, 2 lugares de parqueamento e arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911113-76;39.004186;-9.004535;3;2;;162,00;2013;141;2;4;1º Andar;141,00;;
Apartamentos NOVOS - Excelentes acabamentos;225.000 €;Fantásticos apartamentos Novos, a estrear em zona central e de referência, excelente localização, muita luminosidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de alumínio, pavimentos flutuante em Faia, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado (solução por condutas).Cozinha totalmente equipada com eletrodomésticos SMEG.Quartos com roupeiro, Boas varandas e 1 lugar de parqueamento.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911113-74;39.004186;-9.004535;2;1;;120,00;2013;120;1;3;4º Andar;102,00;;
T3 Duplex de Luxo!!;349.000 €;T3 Duplex de Luxo!!Fantástico Apartamento T3 Duplex de Luxo, localizado na Av. Frei Bartolomeu dos Mártires, com uma área habitável de 272m2. Encontra-se numa localização privilegiada, com óptima exposição solar, vistas magníficas, óptimos acessos, próximo de comércio e serviços.Composto por:- Cozinha ampla mobilada e equipada com placa, forno, exaustor, microondas, máquina de lavar loiça, máquina lavar roupa, máquina de secar roupa, frigorífico americano.- Copa.- Lavandaria.- Sala ampla com muita luz natural, varanda, lareira com recuperador de calor. - Wc de serviço.- Despensa.- 1 quarto amplo com muita luz natural e roupeiros embutidos.-...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Braga-(Sao-Vitor)-Braga_123311001-512;41.548939;-8.405936;3;;;272,00;2011;272;4;4;;;;
;540.000 €;Condomínio privado de prestígio, com excelente localização, próximo do Estádio da Luz, Centro Colombo, Alto dos Moinhos etc. possui piscina, jardim, “kid´s Club”, parque infantil etc.O apartamento possui excelentes acabamentos, boa organização de áreas, estacionamento e arrecadação, ar condicionado, sistema de domótica para deteção de inundação, fuga de gás, incêndios e intrusão.Sistema solar térmico para aquecimento de águas sanitárias.Nos pisos de estacionamento, possui sistema de extinção de incêndios, deteção de Monóxido de Carbono e desenfumagem mecânica, Classificação Energética A em todas as fraçõesElectrodomésticos Bosch com eficiência energética A.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Sao-Domingos-de-Benfica-Lisbon_120611217-183;38.728744;-9.113867;2;;;125,00;2012;108;;3;;;;
Apartamentos NOVOS;292.500 €;Fantásticos apartamentos a estrear em zona central e de referência, excelente localização, muita luminusidade, acabamentos de luxo.Materiais escolhidos com todo o detalhe e requinte. Vidros duplos com protecção térmica, estores elétricos de laminas de aluminio, pavimentos em Sucupira envernizada, painéis solares, aspiração central, alarme de tecnologia wireless, ar condicionado(solução por condutas).2 lugares de parqueamento, arrecadação.Venha conhecer, óptimos preços! ;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122911113-79;38.696805;-9.2991;3;2;1;148,00;2012;148;2;4;6º Andar;;;
FABULOSA MORADIA EM LAGOS;750.000 €;Fabulosa moradia construída num lote com 614 m2, com piscina, zona de BBQ, jardim e vista mar. Localizada em zona tranquila e residencial da cidade de Lagos, estando perto das bonitas praias, campos de Golfe, comércio e serviços. Construído com elevados padrões de qualidade, possuí a classificação energética máxima A+. Composta por dois pisos, no r/c : escritório, sala ampla e luminosa, cozinha equipada, despensa, hall de entrada, wc social, lavandaria e garagem.No 1º. piso: 3 suites, sendo que duas têm walking closet e 2 amplos  terraços.A moradia está equipada com painéis solares, para águas quentes sanitárias, rega automática, aspiração central, toalheiros...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Lagos-(Sao-Sebastiao)-Lagos_122881039-164;37.107185;-8.685616;3;;;614,00;2008;299;4;5;;;;
