nome;morada;postal;localidade;lat;lng;codigo
A Torre dos Pequeninos - Creche e Jardim de Infância Unipessoal Lda.;R. Marechal Humberto Delgado  ;4780 - 039 areias sts;Areias;41.35598;-8.482083;1314589
A.P.P.A.C.D.M. do Porto;Travessa da Costibela, nº 85  ;4100 - 186 porto;Aldoar;41.171978;-8.6687765;1312086
AMAI - Jardim de Infância;Av. Duarte Madeira Arrais, nº 8  ;3620 - 338 moimenta da beira;Moimenta da Beira;40.987537;-7.618849;1807481
ANCORENSIS - "Cooperativa de Ensino";R. Alexandre Herculano, 212  ;4910 - 457 vila praia de âncora;Vila Praia de Ancora;41.80965;-8.854862;1602658
APACI - Centro de Ensino Especial;Lugar de Rainho  ;4750 - 541 lijó;Lijó;41.571705;-8.605558;302275
APADIMP - Associação de Pais e Amigos de Diminuídos Mentais;Qta de Milhundos - Apartado 139  ;4560 - 682 penafiel;Penafiel;41.20619;-8.270656;1311760
APPACDM - Centro Educacional de Gaia;Rua da Rasa, nº 510  ;4400 - 268 vila nova de gaia;Vila Nova de Gaia;41.11809;-8.610958;1317715
APPACDM Centro Dr. Leonardo Coimbra;R. Dr. Leonardo Coimbra  ;4465 - 189 são mamede de infesta;S. Mamede de Infesta;41.200203;-8.60289;1308046
APPACDM Centro Educacional do Porto;R. Tenente Valadim, 157  ;4100 - 479 porto;Porto;41.161526;-8.640758;1312499
APPACDM de Viana do Castelo;Av. Além do Rio - 222  ;4900 - 580 viana do castelo;Areosa;41.721527;-8.858778;1609859
APPC - Núcleo Regional de Vila Real;Av. Osnabruck  ;5000 - 427 vila real;Vila Real;41.30166;-7.732256;1714013
APPDA - Norte;Rua D. Carlos I, nº 110  ;4430 - 258 vila nova de gaia;Vila Nova de Gaia;41.109753;-8.600331;1317361
ATA - Associação de Trabalhadores da ACO;Avenida Padre António Ferreira, 599  ;4770 - 350 mogege;Mogege;41.4208;-8.399249;312532
Abrigo Infantil "Nossa Sra. das Candeias";R. Antero de Quental, nº  194 -  ;4050 - 052 porto;Porto;41.15983;-8.611683;1312005
Academia Contemporânea do Espectáculo;Praça Coronel Pacheco, nº 1  ;4050 - 453 porto;Porto;41.151264;-8.615393;1312739
Academia Musical de Vilar do Paraíso;Rua Camilo Castelo Branco, nº 20  ;4405 - 847 vila nova de gaia;Vilar do Paraíso;41.09251;-8.618844;1317009
Academia de Artes de Chaves;Largo da Estação - Centro Cultural de Chaves  ;5400 - 000 chaves;Santa Maria Maior;41.74618;-7.46866;1703044
Academia de Ensino Particular, Lda;Travessa Portocarreiro, n.º 39 -Esqd.  ;4445 - 567 ermesinde;Ermesinde;41.21157;-8.555792;1315805
Academia de Música Fernandes Fão;Centro Cultural e Social de Vila Praia de Âncora  ;4910 - 431 vila praia de âncora;Vila Praia de Âncora;41.814396;-8.861568;1602049
Academia de Música S. Pio X;Avenida Júlio Graça, nº 580 - Centro Municipal de Juventude  ;4480 - 672 vila do conde;Vila do Conde;41.352905;-8.748432;1316923
Academia de Música Valentim Moreira de Sá;Largo da Condessa de Juncal  ;4800 - 159 guimarães;Guimarães;41.44191;-8.294771;308741
Academia de Música da Associação de Cultura Musical de Lousada;Av. Cidade de Errenteria - Quinta das Pocinhas  ;4620 - 674 lousada;Silvares;41.278347;-8.282538;1305314
Academia de Música da Sociedade Filarmónica Vizelense;Avenida Bombeiros Voluntários, 415  ;4815 - 394 vizela;Caldas de Vizela ;41.37578;-8.312206;314439
Academia de Música de Arouca;Av. 25 de Abril, nº 27  ;4540 - 102 arouca;Arouca;40.92814;-8.249896;104976
Academia de Música de Basto;Rua 5 de Outubro - Edif. Dr. Castro Leal  ;4890 - 000 celorico de basto;Celorico de Basto;41.38806;-8.001317;305262
Academia de Música de Castelo de Paiva;Rua Emídio Navarro, Nº 102  ;4550 - 126 castelo de paiva;Sobrado - Castelo de Paiva;41.039948;-8.274665;106849
Academia de Música de Costa Cabral;Rua Costa Cabral, 877  ;4200 - 225 porto;Porto;41.167686;-8.593161;1312121
Academia de Música de Espinho;Rua 34, nº 884  ;4500 - 318 espinho;Espinho;41.00525;-8.632698;107570
Academia de Música de José Atalaya;Rua Serpa Pinto, 30  ;4820 - 285 fafe;Fafe;41.451015;-8.175046;307713
Academia de Música de Oliveira de Azeméis;Av. António José de Almeida nº 249  ;3720 - 239 oliveira de azeméis;Oliveira de Azeméis;40.83775;-8.477452;113521
